system:time_start,LST_Day_1km
1-Jan-20,32.04
9-Jan-20,33.909
17-Jan-20,38.124
25-Jan-20,38.087
2-Feb-20,39.783
10-Feb-20,39.213
18-Feb-20,40.088
26-Feb-20,38.503
5-Mar-20,42.733
13-Mar-20,36.95
21-Mar-20,38.275
29-Mar-20,36.595
6-Apr-20,36.96
14-Apr-20,35.423
22-Apr-20,33.803
30-Apr-20,33.064
8-May-20,36.288
16-May-20,32.087
24-May-20,36.476
1-Jun-20,28.893
9-Jun-20,30.16
17-Jun-20,28.98
25-Jun-20,28.678
3-Jul-20,23.828
11-Jul-20,27.088
19-Jul-20,27.366
27-Jul-20,27.135
4-Aug-20,32.521
12-Aug-20,28.428
20-Aug-20,27.395
28-Aug-20,27.07
5-Sep-20,27.083
13-Sep-20,28.026
21-Sep-20,29.106
29-Sep-20,28.02
7-Oct-20,29.898
15-Oct-20,32.249
23-Oct-20,30.672
31-Oct-20,33.432
8-Nov-20,36.312
16-Nov-20,36.658
24-Nov-20,36.501
2-Dec-20,37.352
10-Dec-20,37.261
18-Dec-20,37.841
26-Dec-20,37.384
